"normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "parameters.Direction" "loss_function.Parameter1" "loss_function.Loss1" "loss_function.Parameter_1" "loss_function.Loss_1" "weights.w1" "weights.w2"
"event_22242-1409788800_26" 3.10182898971184 -1.75459788941967 1.72654981916177 18.9100591090212 1 1.72654981916177 18.9100591090212 -4.0279385009335 332.027666684966 0.817757009345794 0.171428571428571
"event_22242-1409788800_27" 3.129714770874 -1.72980414749593 5.88300984743758 8.85158090141519 1 5.88300984743758 8.85158090141519 -4.06359517286974 331.670769579535 0.817757009345794 0.148571428571429
"event_22242-1409788800_29" 3.11786509097392 -1.76479278049618 0.734846892367982 21.6648320304171 1 0.734846892367982 21.6648320304171 -4.04850326683191 336.301606382803 0.822429906542056 0.181818181818182
"event_22242-1409788800_3" -0.0114726093237882 -0.0182030565933461 0.0218256676968736 0.0138035504682029 1 0.0218256676968736 0.0138035504682029 -0.131635887206495 0.152073934760149 0.775700934579439 0.0120481927710844
"event_22242-1409788800_30" 3.14770798586509 -1.67841798585681 8.43792962493214 0 1 8.43792962493214 0 -4.08479073352703 329.533690020089 0.822429906542056 0.136363636363636
"event_22242-1409788800_4" 0.0872613837984838 -0.161597419106132 -0.172719898968843 0.954523815614996 -1 0.958561314333055 1.79620838414391 -0.172719898968843 0.954523815614996 0.780373831775701 0.0239520958083832
"event_22242-1409788800_5" 0.0002076560558756 0.0676345451102777 0.228306285460244 0.249443376651316 1 0.228306285460244 0.249443376651316 -0.260596076146442 0.365759102204322 0.780373831775701 0.0119760479041916
"event_22242-1409788800_6" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.780373831775701 0
"event_22242-1409788800_8" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.780373831775701 0
"event_22242-1409788800_9" -0.00971659269356492 -0.0286984217051524 0.0577033409006962 0.0655822617109667 1 0.0577033409006962 0.0655822617109667 -0.150388341109403 0.195713420598271 0.780373831775701 0.0119760479041916
"event_22551-1412121600_1" 2.37522901943426 -1.38544679822667 1.93975962374153 7.54683065300032 1 1.93975962374153 7.54683065300032 -3.09174267262932 198.049372719504 0.799065420560748 0.140350877192982
"event_22551-1412121600_10" 4.60832345404994e-05 -0.0368181384038251 -0.0497611438336783 0.600511706329445 -1 0.0714008728909693 0.613252103195423 -0.0497611438336783 0.600511706329445 0.892523364485981 0.06282722513089
