"voter_id" "distance"
"mp_ShaipKamb<U+0435>ri" 20.316670796955
"mp_SinishaMaksimovic" 4.86747543412144
"mp_SlavitsaDjukicD<U+0435><U+0458>anovic" 2.77436013302233
"mp_SlobodanDrGvozd<U+0435>novic" 4.20243957560217
"mp_SlobodanHom<U+0435>n" 8.24100533341489
"mp_SlobodanP<U+0435>ric" 17.6583402518788
"mp_Sn<U+0435>zhanaMalovic" 4.43123756414539
"mp_SonjaVlahovic" 3.53535408689645
"mp_SrgjanDrago<U+0458><U+0435>vic" 8.19968340336566
"mp_SrgjanKruzh<U+0435>vic" 7.34703575432763
"mp_St<U+0435>fanaMiladinovic" 6.42137020483181
"mp_Sul<U+0435><U+0458>manDrUgljanin" 3.69811655250909e-07
"mp_SuzanaSharats" 2.46406302423954
"mp_SuzanaSpaso<U+0458><U+0435>vic" 5.46498947541808
"mp_Sv<U+0435>tislavVukmiritsa" 3.35374706729785
"mp_TanjaTomash<U+0435>vicDamnjanovic" 3.43480624256965
"mp_VanjaVukic" 4.85779813284092
"mp_Viol<U+0435>taLutovats" 3.51723519107623
"mp_VladanMilosh<U+0435>vic" 5.6619057689927
"mp_VladimirDjukanovic" 6.13052464476811
"mp_VladimirDrOrlic" 3.48626094599549
"mp_VladimirProfDrMarinkovic" 4.78487300381739
"mp_VladimirP<U+0435>tkovic" 3.59643743093807
"mp_VladitsaDimitrov" 4.4830765623718
"mp_VladoBabic" 3.98819985523496
"mp_Vlad<U+0435>taKostic" 2.27084545620211
"mp_Vo<U+0458>islavVu<U+0458>ic" 9.8635912205049
"mp_Vuch<U+0435>taToshkovic" 3.53535408689641
"mp_V<U+0435>liborSto<U+0458>kovic" 7.22307133913695
"mp_V<U+0435>limirStano<U+0458><U+0435>vic" 5.255423730522
"mp_V<U+0435>linkaToshic" 3.52705855257808
"mp_V<U+0435>raPaunovic" 4.91222849838936
"mp_V<U+0435>roljubArsic" 3.23996156265537
"mp_V<U+0435>roljubMatic" 2.41555752274596
"mp_V<U+0435>snaDrRakonjats" 3.5193652176618
"mp_V<U+0435>snaDrSimic" 3.53371460113967
"mp_V<U+0435>snaMarkovic" 3.8812665937089
"mp_V<U+0435>snaMartinovic" 34.3835153878837
"mp_V<U+0435>snaMar<U+0458>anovic" 12.4647306543753
"mp_V<U+0435>snaProfDrB<U+0435>sarovic" 4.83040403490468
"mp_ZharkoBogatinovic" 3.57237146404258
"mp_ZharkoMicin" 3.50310009213564
"mp_ZharkoProfDrObradovic" 3.05503902255904
"mp_ZhikaGo<U+0458>kovic" 7.7165841972276
"mp_ZhivanDjurishic" 3.5353540868964
"mp_Zh<U+0435>ljkoSush<U+0435>ts" 5.49880149177152
"mp_ZlataDj<U+0435>ric" 21.3519593326713
"mp_ZoltánPékZoltanP<U+0435>k" 4.82873690205325
"mp_ZoranAntic" 3.74161668618457
"mp_ZoranBabic" 4.74951673534462
"mp_ZoranBo<U+0458>anic" 3.95221326714283
"mp_ZoranMil<U+0435>kic" 7.79722468330486
"mp_ZoranPralitsa" 2.59415242980242
"mp_Zoran<U+0408>ozic" 5.37366641749323
"mp_ZvonimirSt<U+0435>vic" 7.48151257600258
"mp_<U+0408>ankoDrV<U+0435>s<U+0435>linovic" 21.1213409776231
"mp_<U+0408>asminaObradovic" 4.23038487402693
"mp_<U+0408>ovana<U+0408>ovanovic" 11.4929331303487
"mp_<U+0408>ovanMarkovic" 37.3117914915124
"mp_<U+0408>ovitsa<U+0408><U+0435>vtic" 5.16927444804397
"mp_<U+0408><U+0435>lisav<U+0435>taPribo<U+0458>ats" 4.07739917709148
"mp_<U+0408><U+0435>lisav<U+0435>taV<U+0435>ljkovic" 5.22153046788291
"mp_<U+0408><U+0435>l<U+0435>naMi<U+0458>atovic" 3.87875559231687
"mp_<U+0408><U+0435>zdimirDrVuch<U+0435>tic" 3.96118944902098
